Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Connector,Flowchart Shapes,1,,,,,,,A
3,Connector,Flowchart Shapes,1,,,,,,,
4,Connector,Flowchart Shapes,1,,,,,,,B
5,Connector,Flowchart Shapes,1,,,,,,,C
6,Connector,Flowchart Shapes,1,,,,,,,D
7,Connector,Flowchart Shapes,1,,,,,,,
8,Connector,Flowchart Shapes,1,,,,,,,
9,Connector,Flowchart Shapes,1,,,,,,,
10,Connector,Flowchart Shapes,1,,,,,,,
11,Connector,Flowchart Shapes,1,,,,,,,
12,Connector,Flowchart Shapes,1,,,,,,,
13,Connector,Flowchart Shapes,1,,,,,,,
14,Connector,Flowchart Shapes,1,,,,,,,
15,Connector,Flowchart Shapes,1,,,,,,,
16,Connector,Flowchart Shapes,1,,,,,,,
17,Connector,Flowchart Shapes,1,,,,,,,
18,Connector,Flowchart Shapes,1,,,,,,,
19,Text,Standard,1,,,,,,,In A 
20,Text,Standard,1,,,,,,,In B
21,Text,Standard,1,,,,,,,In C
22,Text,Standard,1,,,,,,,In D 
23,Text,Standard,1,,,,,,,Out
24,Line,,1,,,19,2,None,Arrow,
25,Line,,1,,,20,4,None,Arrow,
26,Line,,1,,,21,5,None,Arrow,
27,Line,,1,,,22,6,None,Arrow,
28,Line,,1,,,18,23,None,Arrow,
29,Line,,1,,,2,10,None,Arrow,
30,Line,,1,,,2,3,None,Arrow,
31,Line,,1,,,2,7,None,Arrow,
32,Line,,1,,,2,8,None,Arrow,
33,Line,,1,,,2,9,None,Arrow,
34,Line,,1,,,4,10,None,Arrow,
35,Line,,1,,,4,3,None,Arrow,
36,Line,,1,,,4,7,None,Arrow,
37,Line,,1,,,4,8,None,Arrow,
38,Line,,1,,,4,9,None,Arrow,
39,Line,,1,,,5,10,None,Arrow,
40,Line,,1,,,5,3,None,Arrow,
41,Line,,1,,,5,7,None,Arrow,
42,Line,,1,,,5,8,None,Arrow,
43,Line,,1,,,5,9,None,Arrow,
44,Line,,1,,,6,10,None,Arrow,
45,Line,,1,,,6,3,None,Arrow,
46,Line,,1,,,6,7,None,Arrow,
47,Line,,1,,,6,8,None,Arrow,
48,Line,,1,,,6,9,None,Arrow,
49,Line,,1,,,10,11,None,Arrow,
50,Line,,1,,,10,12,None,Arrow,
51,Line,,1,,,10,13,None,Arrow,
52,Line,,1,,,10,14,None,Arrow,
53,Line,,1,,,3,11,None,Arrow,
54,Line,,1,,,3,12,None,Arrow,
55,Line,,1,,,3,13,None,Arrow,
56,Line,,1,,,3,14,None,Arrow,
57,Line,,1,,,7,11,None,Arrow,
58,Line,,1,,,7,12,None,Arrow,
59,Line,,1,,,7,13,None,Arrow,
60,Line,,1,,,7,56,None,Arrow,
61,Line,,1,,,8,11,None,Arrow,
62,Line,,1,,,8,12,None,Arrow,
63,Line,,1,,,8,13,None,Arrow,
64,Line,,1,,,8,14,None,Arrow,
65,Line,,1,,,9,11,None,Arrow,
66,Line,,1,,,9,12,None,Arrow,
67,Line,,1,,,9,13,None,Arrow,
68,Line,,1,,,9,14,None,Arrow,
69,Line,,1,,,11,15,None,Arrow,
70,Line,,1,,,11,16,None,Arrow,
71,Line,,1,,,11,17,None,Arrow,
72,Line,,1,,,12,15,None,Arrow,
73,Line,,1,,,12,16,None,Arrow,
74,Line,,1,,,12,17,None,Arrow,
75,Line,,1,,,13,15,None,Arrow,
76,Line,,1,,,13,16,None,Arrow,
77,Line,,1,,,13,17,None,Arrow,
78,Line,,1,,,14,15,None,Arrow,
79,Line,,1,,,14,16,None,Arrow,
80,Line,,1,,,14,17,None,Arrow,
81,Line,,1,,,15,18,None,Arrow,
82,Line,,1,,,16,18,None,Arrow,
83,Line,,1,,,17,18,None,Arrow,
