Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,User Image,User Images,1,,,,,,,
3,Process,Flowchart Shapes,1,,,,,,,Process
4,Process,Flowchart Shapes,1,,,,,,,Process
5,Process,Flowchart Shapes,1,,,,,,,Process
6,Process,Flowchart Shapes,1,,,,,,,
7,Rectangle,Geometric Shapes,1,,,,,,,
8,Rectangle,Geometric Shapes,1,,,,,,,
9,Rectangle,Geometric Shapes,1,,,,,,,
10,Rectangle,Geometric Shapes,1,,,,,,,
11,Rectangle,Geometric Shapes,1,,,,,,,
12,Rectangle,Geometric Shapes,1,,,,,,,
13,Rectangle,Geometric Shapes,1,,,,,,,
14,Rectangle,Geometric Shapes,1,,,,,,,
15,Rectangle,Geometric Shapes,1,,,,,,,
16,Rectangle,Geometric Shapes,1,,,,,,,
17,Rectangle,Geometric Shapes,1,,,,,,,
18,Rectangle,Geometric Shapes,1,,,,,,,
19,Rectangle,Geometric Shapes,1,,,,,,,
20,Rectangle,Geometric Shapes,1,,,,,,,
21,Rectangle,Geometric Shapes,1,,,,,,,
22,Rectangle,Geometric Shapes,1,,,,,,,
23,Rectangle,Geometric Shapes,1,,,,,,,
24,Rectangle,Geometric Shapes,1,,,,,,,
25,Connector,Flowchart Shapes,1,,,,,,,
26,Connector,Flowchart Shapes,1,,,,,,,
27,Connector,Flowchart Shapes,1,,,,,,,
28,Connector,Flowchart Shapes,1,,,,,,,
29,Connector,Flowchart Shapes,1,,,,,,,
30,Curly Brace Note,Flowchart Shapes,1,,,,,,,Camada de convolução
31,Curly Brace Note,Flowchart Shapes,1,,,,,,,Camada de subamostragem
32,Curly Brace Note,Flowchart Shapes,1,,,,,,,Camada de convolução
33,Curly Brace Note,Flowchart Shapes,1,,,,,,,Camada de subamostragem
34,Curly Brace Note,Flowchart Shapes,1,,,,,,,Camada completa
35,Rectangle,Geometric Shapes,1,,,,,,,
36,Rectangle,Geometric Shapes,1,,,,,,,
37,Rectangle,Geometric Shapes,1,,,,,,,
38,Rectangle,Geometric Shapes,1,,,,,,,
39,Rectangle,Geometric Shapes,1,,,,,,,
40,Rectangle,Geometric Shapes,1,,,,,,,
41,Rectangle,Geometric Shapes,1,,87,,,,,
42,Rectangle,Geometric Shapes,1,,87,,,,,
43,Rectangle,Geometric Shapes,1,,87,,,,,
44,Rectangle,Geometric Shapes,1,,87,,,,,
45,Rectangle,Geometric Shapes,1,,,,,,,
46,Text,Standard,1,,,,,,,"Entrada de imagem
(256x256)"
47,Text,Standard,1,,,,,,,"Mapa de características
(256x256)"
48,Text,Standard,1,,,,,,,"Mapa de características
(128x128)"
49,Text,Standard,1,,,,,,,"Mapa de características
(128x128)"
50,Text,Standard,1,,,,,,,"Mapa de características
(64x64)"
51,Text,Standard,1,,,,,,,Saida de características
52,Line,,1,,,6,31,None,None,
53,Line,,1,,,37,31,None,None,
54,Line,,1,,,17,33,None,None,
55,Line,,1,,,34,24,None,None,
56,Line,,1,,,34,29,None,None,
57,Line,,1,,,30,2,None,None,
58,Line,,1,,,35,36,None,None,
59,Line,,1,,,35,36,None,None,
60,Line,,1,,,10,38,None,None,
61,Line,,1,,,39,40,None,None,
62,Line,,1,,,39,40,None,None,
63,Line,,1,,,25,18,None,None,
64,Line,,1,,,26,18,None,None,
65,Line,,1,,,27,18,None,None,
66,Line,,1,,,28,18,None,None,
67,Line,,1,,,25,24,None,None,
68,Line,,1,,,26,24,None,None,
69,Line,,1,,,27,24,None,None,
70,Line,,1,,,28,24,None,None,
71,Line,,1,,,25,29,None,None,
72,Line,,1,,,26,29,None,None,
73,Line,,1,,,27,29,None,None,
74,Line,,1,,,28,29,None,None,
75,Line,,1,,,10,38,None,None,
76,Line,,1,,87,41,44,None,None,
77,Line,,1,,87,41,44,None,None,
78,Line,,1,,87,44,41,None,None,
79,Line,,1,,,45,41,None,None,
80,Line,,1,,,45,76,None,None,
81,Line,,1,,,45,76,None,None,
82,Line,,1,,,45,44,None,None,
83,Line,,1,,,45,44,None,None,
84,Line,,1,,,45,44,None,None,
85,Line,,1,,,45,44,None,None,
86,Line,,1,,,49,,None,None,
87,Group 1,,1,,,,,,,
